iter	Passed	Remaining
853	1442	246
854	1444	244
855	1445	243
856	1447	241
857	1448	239
858	1450	238
859	1452	236
860	1453	234
861	1455	232
862	1456	231
863	1457	229
864	1458	227
865	1460	225
866	1461	224
867	1463	222
868	1464	220
869	1466	219
870	1468	217
871	1469	215
872	1471	214
873	1473	212
874	1474	210
875	1476	208
876	1477	207
877	1478	205
878	1480	203
879	1482	202
880	1483	200
881	1485	198
882	1487	197
883	1488	195
884	1490	193
885	1491	191
886	1492	190
887	1494	188
888	1496	186
889	1497	185
890	1498	183
891	1500	181
892	1502	179
893	1503	178
894	1504	176
895	1506	174
896	1507	173
897	1508	171
898	1510	169
899	1512	168
900	1513	166
901	1515	164
902	1516	162
903	1518	161
904	1519	159
905	1521	157
906	1522	156
907	1524	154
908	1525	152
909	1527	151
910	1529	149
911	1530	147
912	1532	146
913	1533	144
914	1534	142
915	1536	140
916	1538	139
917	1539	137
918	1541	135
919	1543	134
920	1544	132
921	1546	130
922	1547	129
923	1548	127
924	1550	125
925	1551	123
926	1552	122
927	1554	120
928	1555	118
929	1557	117
930	1558	115
931	1560	113
932	1561	112
933	1563	110
934	1564	108
935	1565	107
936	1567	105
937	1569	103
938	1571	102
939	1572	100
940	1574	98
941	1575	97
942	1576	95
943	1578	93
944	1579	91
945	1580	90
946	1582	88
947	1584	86
948	1586	85
949	1587	83
950	1589	81
951	1590	80
952	1592	78
953	1593	76
954	1595	75
955	1597	73
956	1598	71
957	1600	70
958	1601	68
959	1603	66
960	1604	65
961	1606	63
962	1607	61
963	1608	60
964	1610	58
965	1611	56
966	1613	55
967	1614	53
968	1616	51
969	1617	50
970	1618	48
971	1620	46
972	1621	44
973	1622	43
974	1624	41
975	1626	39
976	1627	38
977	1629	36
978	1630	34
979	1631	33
980	1633	31
981	1634	29
982	1636	28
983	1638	26
984	1639	24
985	1641	23
986	1642	21
987	1644	19
988	1645	18
989	1646	16
990	1648	14
991	1649	13
992	1650	11
993	1652	9
994	1654	8
995	1655	6
996	1657	4
997	1658	3
998	1660	1
999	1662	0
